,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92380000-1412,,내꿈이공인중개사사무소,서울특별시 중구 서소문로 38 디오센터 118호(중림동),우혜경,02-717-4644,2002.10.28,3,,,공인중개사,유,-
1,공92220000-2169,,더플레이스공인중개사사무소,서울특별시 중구 중림로 21 더플레이스 충정로 B 102호,이덕순,-,2012.07.11,3,,,공인중개사,유,-
2,공92220000-2325,,래미안공인중개사사무소,서울특별시 중구 중림로 11-2 (중림동 184-1),이경훈,02-313-7744,2014.06.17,3,,,공인중개사,유,-
3,가-92280000-공인2386,,부동산1번지공인중개사사무소,서울특별시 중구 중림로 13 1층,장연경,02-313-4080,2007.04.05,3,,,공인중개사,유,-
4,공92220000-1857,,부동산카페공인중개사사무소,서울특별시 중구 중림로 2 (1층),최정임,02-312-4080,2009.05.21,3,,,공인중개사,유,-
5,공92220000-1752,,브라운스톤공인중개사사무소,서울특별시 중구 청파로 464 브라운스톤서울 상가 105호,김옥연,02-6383-8989,2008.06.10,3,,,공인중개사,유,-
6,92380000-4855,,브라운스톤명공인중개사사무소,서울특별시 중구 청파로 464 브라운스톤 서울 106호(중림동 355),김유신,"02-363-3648, 02-364-3648",2010.03.24,3,,,공인중개사,유,-
7,11140-2016-00065,,삼성사이버부동산공인중개사사무소,"서울특별시 중구 중림로 10 1상가 104-3호(중림동, 삼성사이버빌리지)",장덕수,02-365-0011,2016.07.22,3,,,공인중개사,유,-
8,공92220000-1946,,서부공인중개사사무소,서울특별시 중구 중림로 51-2,이미화,02-365-5288,2010.03.16,3,,,공인중개사,유,-
9,공92220000-920,,소망공인중개사사무소,서울특별시 중구 중림로 37 1층,송덕섭,02-364-5222,2001.08.24,3,,,공인중개사,유,-
10,공92220000-1079,,자연과인간공인중개사사무소,서울특별시 중구 중림로 10 삼성사이버아파트 2상가 108-2호,최상배,02-393-8944,2002.11.21,3,,,공인중개사,유,-
11,11140-2016-00084,,주식회사뉴미래부동산중개,서울특별시 중구 청파로 463 6층일부(중림동),이원균,02-2629-3700~3799,2016.11.02,3,,,법인,유,-
12,11545-2017-00124,,코리아 공인중개사사무소,"서울특별시 중구 서소문로 38 504호 일부 (중림동, 센트럴타워)",권병삼,02-365-3690,2016.11.17,3,,,공인중개사,유,-
13,11140-2016-00091,,하나공인중개사사무소,서울특별시 중구 청파로103길 6 1층일부(중림동),차정희,-,2016.12.01,3,,,공인중개사,유,-
