,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2015-00080,,(주)명동경진부동산중개,"서울특별시 중구 명동3길 6 8층(명동1가, 개양빌딩)",김유진,02-722-9000,2015.10.07,3,,,법인,유,-
1,11140-2016-00002,,명동부동산공인중개사사무소,서울특별시 중구 명동길 49 5층(명동1가),이풍옥,02-774-5454,2016.01.04,3,,,공인중개사,유,-
2,가92220000-678,,부림사부동산중개인사무소,서울특별시 중구 명동9길 5,구영옥,02-776-8949,1986.12.22,3,,,중개인,유,-
3,공92220000-1523,,삼일공인중개사사무소,서울특별시 중구 명동길 1-6 401호,장경순,02-778-1530,2006.04.18,3,,,공인중개사,유,-
