,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-1682,,대경공인중개사사무소,서울특별시 중구 중림로 50 1층(만리동1가),안현규,02-362-2200,2007.11.01,3,,,공인중개사,유,-
1,11140-2018-00090,,디오빌공인중개사사무소,"서울특별시 중구 만리재로 193 101호(만리동1가, 서울역디오빌)",정희원,-,2018.12.07,3,,,공인중개사,유,-
2,11140-2018-00082,,서울역리가공인중개사사무소,"서울특별시 중구 만리재로33길 21 상가동 105호(만리동1가, LIG서울역리가)",서인영,02-313-8991,2018.11.21,3,,,공인중개사,유,-
3,나92220000-575,,충남사부동산중개인사무소,서울특별시 중구 만리재로 209-3 1층,송병숙,02-392-7018,1984.05.29,3,,,중개인,유,-
4,가92460000-70,,타임연합부동산중개사무소,서울특별시 중구 만리재로 193 서울역 디오빌 910호,김현숙,-,1984.06.30,3,,,중개인,유,-
5,공92220000-2374,,하나공인중개사사무소,"서울특별시 중구 만리재로 193 510호(만리동1가, 서울역디오빌)",김민채,02-839-0034,2014.12.23,3,,,공인중개사,유,-
6,11140-2018-00028,,홈쑈핑공인중개사사무소,서울특별시 중구 만리재로 217 2호 1층 일부(만리동1가),전명희,02-365-6375,2018.02.23,3,,,공인중개사,유,-
