,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-2226,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=2158,SK리더스공인중개사사무소,서울특별시 중구 퇴계로 72 리더스뷰남산 122호,황명진,02-773-5400,2013.03.07,3,,,공인중개사,유,-
1,11170-2016-00139,,SK부동산공인중개사사무소,"서울특별시 중구 퇴계로 72 상가122호(회현동1가,리더스뷰남산)",나지선,-,2016.09.26,3,,,공인중개사,유,-
2,11400-2015-00010,,남산공인중개사사무소,서울특별시 중구 퇴계로6길 17 (회현동1가),김종수,02-757-0123,2015.01.22,3,,,공인중개사,유,-
3,공92220000-1877,,남산롯데캐슬공인중개사사무소,서울특별시 중구 소공로 35 롯데캐슬아이리스 상가 112호,신옥선,02-773-7800,2009.08.04,3,,,공인중개사,유,-
4,공92220000-2203,,남산롯데캐슬아이리스부동산중개사사무소,서울특별시 중구 소공로 35 113호,곽영미,02-753-3600,2012.12.03,3,,,공인중개사,유,-
5,11140-2018-00015,,남산신세계공인중개사사무소,"서울특별시 중구 퇴계로 72 1층 114호(회현동1가, 리더스뷰 남산)",박성철,-,2018.01.26,3,,,공인중개사,유,-
6,11140-2018-00081,,롯데캐슬부동산공인중개사사무소,"서울특별시 중구 소공로 35 105호(회현동1가, 롯데캐슬아이리스)",이승주,02-753-5200,2018.11.19,3,,,공인중개사,유,-
7,가92220000-810,,백조부동산중개인사무소,서울특별시 중구 소공로3길 29-8 삼풍아파트상가 103호,전길연,02-776-3346,1988.01.15,3,,,중개인,유,-
8,11140-2018-00008,,생활부동산중개사무소,"서울특별시 중구 소공로 35 301호(회현동1가,남산롯데캐슬아이리스)",김인혁,-,2018.01.15,3,,,공인중개사,유,-
9,11140-2016-00017,,자유공인중개사사무소,서울특별시 중구 남대문시장길 73 5층 일부(회현동1가),최대식,02-753-2337,2016.02.01,3,,,공인중개사,유,-
10,공92220000-1844,,화성공인중개사사무소,서울특별시 중구 퇴계로8길 5 1층,박장하,02-752-2860,2009.04.09,3,,,공인중개사,유,-
