,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-1511,,골든부동산양국진공인중개사사무소,서울특별시 중구 충무로 23 3층(충무로3가 30-9),양국진,02-2272-5815,2006.03.22,3,,,공인중개사,유,-
1,9251-5869,,동인부동산중개법인주식회사,"서울특별시 중구 충무로 9 402호(충무로3가, 해창빌딩)",정한계,-,2008.02.28,3,,,법인,유,-
2,11140-2016-00098,,만석공인중개사사무소,서울특별시 중구 수표로6길 33 1층일부(101호)(충무로3가),박윤화,-,2016.12.22,3,,,공인중개사,유,-
3,공92220000-2287,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=3024,메트로부동산공인중개사사무소,"서울특별시 중구 충무로 13 106호(충무로3가,엘크루메트로시티)",현은찬,02-849-0082,2014.02.25,3,,,공인중개사,유,-
4,공92220000-1746,,삼성공인중개사사무소,서울특별시 중구 수표로6길 25 4층일부(충무로3가),박국현,02-2267-6677,2008.05.23,3,,,공인중개사,유,-
5,나92220000-190,,삼우사부동산중개인사무소,서울특별시 중구 수표로6길 12,이하균,02-268-3839,1984.05.22,3,,,중개인,유,-
6,나92220000-197,,삼익사부동산중개인사무소,서울특별시 중구 수표로6길 14 2층,최상용,02-2267-2603,1984.05.22,3,,,중개인,유,-
7,11140-2016-00001,,삼풍공인중개사사무소,서울특별시 중구 충무로 16 1층일부(충무로3가),이희복,-,2016.01.04,3,,,공인중개사,유,-
8,가92220000-302,,삼화부동산중개인사무소,서울특별시 중구 충무로 20,김정남,02-266-4185,1985.02.07,3,,,중개인,유,-
9,공92220000-2284,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=2714,엘크루부동산공인중개사사무소,"서울특별시 중구 충무로 13 제지층 B116호(충무로3가, 엘크루메트로시티)",김영순,02-2277-9888,2014.02.14,3,,,공인중개사,유,-
10,공92220000-1087,,청림공인중개사사무소,서울특별시 중구 충무로 18,강진모,02-2264-8541,2002.12.07,3,,,공인중개사,유,-
