,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,가92220000-874,,세운부동산중개인사무소,서울특별시 중구 퇴계로41길 13,양판섭,02-2277-6625,1989.01.20,3,,,중개인,유,-
1,11200-2015-00085,,신화공인중개사사무소,서울특별시 중구 퇴계로 217 1층 31호(충무로4가),고태선,02-2277-2227,2015.05.07,3,,,공인중개사,유,-
2,법92220000-35,,주식회사부곡드림개발부동산중개법인,서울특별시 중구 퇴계로 235 109호(충무로4가),이기창,02-2272-6791,2003.03.17,3,,,법인,유,-
3,92260000-1046,,충무로공인중개사사무소,"서울특별시 중구 퇴계로 217 29호, 30호",전봉수,-,2000.08.11,3,,,공인중개사,유,-
4,공92220000-2237,,하나로공인중개사사무소,"서울특별시 중구 퇴계로 217 1층 6호/35호(진양상가, 충무로4가)",김용태,02-2266-7775,2013.05.07,3,,,공인중개사,유,-
5,가92220000-514,,한도부동산중개인사무소,서울특별시 중구 퇴계로 217 1층 나호30호(충무로4가),김재식,02-2273-0231,1985.11.07,3,,,중개인,유,-
