,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-2357,,개미공인중개사사무소,서울특별시 중구 퇴계로 423-2,신재천,02-2267-5949,2014.10.22,3,,,공인중개사,유,-
1,11140-2017-00006,,공인중개사사무소청계부동산,"서울특별시 중구 청계천로 370 가동 110호(황학동, 롯데캐슬베네치아 메가몰동)",최영식,-,2017.01.18,3,,,공인중개사,유,-
2,11140-2019-00021,,노시헌공인중개사사무소,서울특별시 중구 퇴계로83길 30-16 1층,노시헌,02-2237-6717,2019.03.19,3,,,공인중개사,유,-
3,공92220000-1992,,뉴타운공인중개사사무소,서울특별시 중구 난계로 159 1층102호,임경임,02-2234-4400,2010.09.30,3,,,공인중개사,유,-
4,11140-2018-00004,,다온공인중개사사무소,서울특별시 중구 퇴계로87길 41 1층,최연희,02-2235-3020,2018.01.08,3,,,공인중개사,유,-
5,가92220000-661,,대진사부동산중개인사무소,서울특별시 중구 난계로21길 9,최병설,02-2236-7053,1986.11.10,3,,,중개인,유,-
6,11140-2018-00031,,동아부동산공인중개사사무소,서울특별시 중구 마장로 83 주2 1층(황학동),강현석,02-2232-0747,2018.03.23,3,,,공인중개사,유,-
7,공92220000-1950,,래미안공인중개사사무소,"서울특별시 중구 난계로17길 43 202호(황학동,골든빌)",최순심,"02-2233-4545, 02-2233-9600",2010.03.26,3,,,공인중개사,유,-
8,11140-2015-00102,,럭키공인중개사사무소,서울특별시 중구 난계로23길 5 1층(황학동),임동환,02-2256-8177,2015.12.22,3,,,공인중개사,유,-
9,가92280000-공인2450,,롯데공인중개사사무소,"서울특별시 중구 청계천로 400 1156호(황학동, 롯데캐슬베네치아메가몰동)",황인순,02-2236-5959,2007.08.17,3,,,공인중개사,유,-
10,92260000-2298,,롯데캐슬공인중개사사무소,서울특별시 중구 청계천로 400 롯데캐슬베네치아 상가동 1219호,표정훈,02-2048-5949,2007.01.23,3,,,공인중개사,유,-
