,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92270000-4178,,대우엘크루공인중개사사무소,서울특별시 중구 퇴계로49길 14 충무로엘크루 메트로시티2차 109호,윤박,02-2268-2323,2014.12.24,3,,,공인중개사,유,-
1,공92220000-1858,,반석공인중개사사무소,"서울특별시 중구 마른내로12길 7-4 102호(충무로5가,현대프레스타워)",신중용,-,2009.05.28,3,,,공인중개사,유,-
2,11140-2016-00063,,세종엘크루공인중개사사무소,"서울특별시 중구 퇴계로49길 14 103호(충무로5가,충무로엘크루시티메가몰)",이현주,02-2274-7900,2016.07.18,3,,,공인중개사,유,-
3,11140-2018-00013,,스마트부동산공인중개사사무소,"서울특별시 중구 서애로1길 11 지1층 상가비134호(충무로5가, 충무로 헤센 스마트)",남향숙,-,2018.01.23,3,,,공인중개사,유,-
