,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2016-00046,,동대문공인중개사사무소,서울특별시 중구 을지로 213 정건벨라지오 409호,유진태,-,2016.05.20,3,,,공인중개사,유,-
1,11140-2018-00030,,미래공인중개사사무소,서울특별시 중구 동호로 356 1층 일부(을지로5가),김학재,02-2276-0339,2018.03.21,3,,,공인중개사,유,-
2,공92220000-1472,,삼성공인중개사사무소,서울특별시 중구 동호로 361 삼성골드캐슬 201호,우석주,02-2263-3301,2005.12.01,3,,,공인중개사,유,-
3,11110-2018-00028,,세원공인중개사사무소,"서울특별시 중구 을지로 213 409호 (을지로5가, 정건벨라지오오피스텔)",송정운,-,2018.01.15,3,,,공인중개사,유,-
4,11140-2019-00008,,연세공인중개사사무소,서울특별시 중구 을지로 226 203호(을지로5가),이천세,-,2019.02.07,3,,,공인중개사,유,-
5,11530-2017-00049,,우주여신공인중개사사무소,"서울특별시 중구 을지로 213 409호 일부(을지로5가, 정건벨라지오오피스텔)",김명학,-,2017.04.26,3,,,공인중개사,유,-
6,11140-2017-00012,,을지로공인중개사사무소,서울특별시 중구 을지로 212 1층일부(105호) (을지로5가),계광집,-,2017.01.31,3,,,공인중개사,유,-
7,공92220000-2013,,정우공인중개사사무소,서울특별시 중구 을지로 206 2층,임현이,02-2285-5431,2010.12.29,3,,,공인중개사,유,-
8,92200000-01635,,충무공인중개사사무소,"서울특별시 중구 을지로 213 809호(을지로5가, 정건벨라지오)",김호영,02-735-9808,2007.07.20,3,,,공인중개사,유,-
9,11650-2018-00287,,현대공인중개사사무소,"서울특별시 중구 을지로 213 , 409호 (을지로5가, 정건벨라지오오피스텔)",나도석,02-573-0565,2014.02.18,3,,,공인중개사,유,-
