,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2018-00011,,광장부동산중개사무소,서울특별시 종로구 종로 236 201호 (종로5가),김철곤,02-2269-3357,2018.01.25,3,,,공인중개사,유,-
1,92200000-2138,,대원공인중개사사무소,서울특별시 종로구 동호로 406 (종로5가),김동섭,02-22779595,2008.10.16,3,,,공인중개사,유,-
2,11110-2019-00017,,동해부동산공인중개사사무소,서울특별시 종로구 종로 227-1 3층(종로5가),강인규,-,2019.02.22,3,,,공인중개사,유,-
3,92200000-20,,동해종합부동산중개주식회사,서울특별시 종로구 종로 227-1 영일빌딩 3층 (종로5가),황영식,02-744-7600,1991.01.10,3,,,법인,유,-
4,11110-2015-00045,,성실공인중개사사무소,서울특별시 종로구 종로 227-4 4층 (종로5가),곽성열,02-744-1186,2015.07.10,3,,,공인중개사,유,-
5,92200000-1121,,성업공인중개사사무소,서울특별시 종로구 종로 235-1 (종로5가),최근수,02-762-2266,2000.12.05,3,,,공인중개사,유,-
6,11110-2016-00026,,세움부동산중개,서울특별시 종로구 종로31길 4 2층,임경운,"02-742-7777,763-0039,762-9600,02-2277-6346",2016.03.17,3,,,공인중개사,유,-
7,11110-2018-00123,,소망공인중개사사무소,서울특별시 종로구 종로 255-2 1층 (종로5가),박병웅,02-734-4123,2018.12.27,3,,,공인중개사,유,-
8,가92200000-97,,송림부동산중개인사무소,서울특별시 종로구 종로31길 10 (종로5가),김동균,02-743-8400,1986.09.02,3,,,중개인,유,-
9,92200000-1709,,신진공인중개사사무소,서울특별시 종로구 종로 207 502호 (종로5가),김종일,02-765-9300,2006.02.07,3,,,공인중개사,유,-
10,92200000-2445,,신한공인중개사사무소,서울특별시 종로구 종로36길 5 2층,함진숙,02-763-4480,2011.02.17,3,,,공인중개사,유,-
11,92200000-1111,,신현대공인중개사사무소,서울특별시 종로구 종로 228 (종로5가),조중현,2275-3330,2000.10.11,3,,,공인중개사,유,-
12,92200000-885,,우진부동산공인중개사사무소,서울특별시 종로구 종로 211-1 201호 (종로5가),김종문,02-764-1177,1998.03.11,3,,,공인중개사,유,-
13,11110-2018-00044,,이로운부동산중개,서울특별시 종로구 종로 233-1 401호 (종로5가),박송호,02-747-5599,2018.04.26,3,,,공인중개사,유,-
14,92200000-2754,,한국종합부동산센터공인중개사사무소,서울특별시 종로구 종로 227-1 (종로5가),안원국,02-744-248902-3672-248902-3673-2489,2014.07.15,3,,,공인중개사,유,-
15,92200000-104,,한영부동산중개인사무소,서울특별시 종로구 종로 227-4,길영돈,02-2233-2216,1989.07.19,3,,,중개인,유,-
16,11110-2018-00039,,한일공인중개사사무소,서울특별시 종로구 종로31길 10-2 2층 (종로5가),주양호,02-741-5344,2017.08.14,3,,,공인중개사,유,-
17,11110-2016-00081,,황금부동산공인중개사사무소,서울특별시 종로구 청계천로 223-3,김영달,2261-4987,2016.09.07,3,,,공인중개사,유,-
