,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2017-00092,,경희궁자이부동산공인중개사사무소,"서울특별시 종로구 송월길 99 2155호 (홍파동, 경희궁자이팰리스에비뉴)",박재실,02-720-4989,2017.06.22,3,,,공인중개사,유,-
1,11110-2017-00012,,경희궁자이탑부동산중개,"서울특별시 종로구 송월길 99 2123호 (교남동, 경희궁자이 팰리스에비뉴 2단지)",김은주,02-3662-3662,2016.10.19,3,,,공인중개사,유,-
2,11110-2017-00033,,경희궁태영부동산공인중개사사무소,"서울특별시 종로구 송월길 99 2138호 (교남동, 경희궁자이 팰리스에비뉴)",박기회,02-732-8945,2017.03.02,3,,,공인중개사,유,-
3,11110-2017-00067,,경희궁하나공인중개사사무소,"서울특별시 종로구 송월길 99 2115호 (홍파동, 경희궁자이)",이미희,02-732-9100,2013.08.09,3,,,공인중개사,유,-
4,11110-2017-00061,,뜰경희궁자이공인중개사사무소,"서울특별시 종로구 송월길 99 2122호 (홍파동, 경희궁자이 팰리스에비뉴 2단지)",박경애,02-312-8000,2017.03.23,3,,,공인중개사,유,-
5,11110-2019-00002,,인공인중개사사무소,서울특별시 종로구 송월길 99 상가2단지 2108호(홍파동),장경란,-,2019.01.04,3,,,공인중개사,유,-
6,92200000-2528,,자이아침공인중개사사무소,"서울특별시 종로구 송월길 99 2137호 (홍파동, 경희궁자이 팰리스에비뉴 2단지)",신순임,02-738-9955,2011.11.09,3,,,공인중개사,유,-
7,11110-2018-00065,,전진공인중개사사무소,서울특별시 종로구 송월길 99 경희궁자이 상가동 2139호 (홍파동),장현주,02-735-0055,2018.06.15,3,,,공인중개사,유,-
8,11110-2017-00094,,참빛자이공인중개사사무소,서울특별시 종로구 송월길 99 2148호 (홍파동),조익구,02-737-0042,2017.07.10,3,,,공인중개사,유,-
9,11110-2016-00077,,토마토(경희궁자이)공인중개사사무소,"서울특별시 종로구 송월길 99 2121호 (홍파동, 경희궁자이 팰리스에비뉴 2단지)",임명자,02-733-6700,2009.01.06,3,,,공인중개사,유,-
10,11110-2017-00136,,황금자이공인중개사사무소,"서울특별시 종로구 송월길 99 2151호 (교남동, 경희궁자이 팰리스애비뉴)",김유경,02-732-0088,2017.12.04,3,,,공인중개사,유,-
