,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2017-00043,,ARAPLUS공인중개사사무소,"서울특별시 종로구 종로 266 D동 310호(자체구분 301호)(종로6가, 동대문종합시장)",김진회,02-2285-0110,2017.03.06,3,,,공인중개사,유,-
1,92200000-1482,,O.K공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 A동 5045호,조혜순,2276-1177,2004.05.03,3,,,공인중개사,유,-
2,11110-2016-00053,,금강공인중개사사무소,"서울특별시 종로구 종로 266 디동 지하99호 (종로6가, 동대문종합시장)",김명국,02-2265-2511,2016.05.26,3,,,공인중개사,유,-
3,92200000-2603,,김지영공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 디동 제2층2호<현장호수1821-5호>(종로6가),김지영,02-2265-2323,2012.07.13,3,,,공인중개사,유,-
4,11110-2015-00002,,동방공인중개사사무소,"서울특별시 종로구 종로 266 C동 3층 (종로6가, 동대문종합시장)",곽태림,02-2268-9595,2015.01.16,3,,,공인중개사,유,-
5,92200000-1616,,동호부동산공인중개사사무소,서울특별시 종로구 종로 266 B동 5층 170호,최순임,"2265-2038, 2272-5393",2005.07.25,3,,,공인중개사,유,-
6,92200000-1674,,미래공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장D동 2792호(종로6가),정재원,2277-7447,2005.11.08,3,,,공인중개사,유,-
7,92200000-1512,,믿음부동산공인중개사사무소,서울특별시 종로구 종로41길 1 1층(종로6가),박동춘,764-1500,2004.07.29,3,,,공인중개사,유,-
8,92200000-1874,,삼성공인중개사사무소,서울특별시 종로구 종로 266 D동 1층 1003호(1570호),원유수,02-2271-3825,2007.03.07,3,,,공인중개사,유,-
9,가92200000-116,,삼우부동산중개인사무소,서울특별시 종로구 종로 266 동대문상가D-1594(종로6가),윤인채,2275-1501,1989.10.07,3,,,중개인,유,-
