,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2244,,경희궁공인중개사사무소,서울특별시 종로구 사직로8길 23 (내자동),주윤종,739-1112,2009.06.18,3,,,공인중개사,유,-
1,92200000-2050,,내자공인중개사사무소,서울특별시 종로구 사직로 111 (내자동),이매화,735-2513,2008.03.24,3,,,공인중개사,유,-
2,11110-2017-00029,,대덕부동산중개사사무소,서울특별시 종로구 사직로8길 15-2 지층 (내자동),이동순,-,1989.04.08,3,,,중개인,유,-
3,11110-2016-00078,,부자공인중개사사무소,서울특별시 종로구 사직로 108 (내자동),배명숙,02-733-3161,2016.08.31,3,,,공인중개사,유,-
4,11110-2016-00082,,우리공인중개사사무소,서울특별시 종로구 사직로8길 17 (내자동),서지은,02-730-5006,2015.10.14,3,,,공인중개사,유,-
5,11110-2017-00087,,초원공인중개사사무소,서울특별시 종로구 자하문로 1,강희숙,02-725-8918,2017.06.09,3,,,공인중개사,유,-
6,11110-2015-00055,,훈민정음공인중개사사무소,서울특별시 종로구 사직로 103-4,손민수,02-730-8941~2,2015.08.17,3,,,공인중개사,유,-
