,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2175,,(주)에스에스피엠부동산중개법인,서울특별시 종로구 종로65길 16 (숭인동),최병오,3448-0401,2009.01.20,3,,,법인,유,-
1,92200000-2591,,LG공인중개사사무소,서울특별시 종로구 숭인동길 14 (숭인동),김광배,02-923-4444,2012.05.23,3,,,공인중개사,유,-
2,92200000-2637,,골드공인중개사사무소,서울특별시 종로구 지봉로 58 (숭인동),천금옥,764-1080,2013.01.17,3,,,공인중개사,유,-
3,92200000-2679,,국가공인중개사사무소,서울특별시 종로구 지봉로 62-1 1층,손주열,-,2013.11.12,3,,,공인중개사,유,-
4,11110-2017-00104,,기쁜우리공인중개사사무소,"서울특별시 종로구 난계로 259 205호 (숭인동, 경일오피스텔)",한상인,02-2233-7940,2017.08.24,3,,,공인중개사,유,-
5,11110-2016-00063,,누리샘공인중개사사무소,"서울특별시 종로구 종로66길 20 410호(숭인동,계명빌딩)",조광화,02-743-4402,2016.07.13,3,,,공인중개사,유,-
6,92200000-2414,,뉴베르빌공인중개사사무소,서울특별시 종로구 난계로 251 (숭인동),김순옥,02-2231-9622,2010.12.07,3,,,공인중개사,유,-
7,92200000-2575,,뉴신화공인중개사사무소,서울특별시 종로구 종로66길 18 101호,정운봉,02-2237-4800,2012.03.26,3,,,공인중개사,유,-
8,92333000-03549,,뉴타운부동산공인중개사사무소,서울특별시 종로구 종로 351-2 (숭인동),한충식,742-2280,2005.10.17,3,,,공인중개사,유,-
9,92200000-2738,,대광공인중개사사무소,서울특별시 종로구 지봉로16길 1 1층(숭인동),이정희,764-4756,2014.05.13,3,,,공인중개사,유,-
10,92200000-2553,,대광부동산공인중개사사무소,서울특별시 종로구 보문로 23-2 (숭인동),안영배,02-953-1212,2012.02.07,3,,,공인중개사,유,-
11,11110-2018-00037,,대우디오빌공인중개사사무소,서울특별시 종로구 종로 344 대우디오빌상가 1층 101호 일부 (숭인동),권순율,-,2018.03.23,3,,,공인중개사,유,-
12,92200000-2658,,대화공인중개사사무소,서울특별시 종로구 지봉로 14 (숭인동),전영신,02-2232-1006,2013.06.11,3,,,공인중개사,유,-
13,92200000-2619,,동양파라빌공인중개사사무소,서울특별시 종로구 난계로 251 동양파라빌오피스텔 107호(숭인동),김순진,2237-7300,2012.09.09,3,,,공인중개사,유,-
14,92200000-2523,,로얄공인중개사사무소,서울특별시 종로구 종로 347 (숭인동),최현승,02-742-9700,2011.10.13,3,,,공인중개사,유,-
15,11110-2017-00122,,롯데부동산공인중개사사무소,서울특별시 종로구 난계로29가길 17 익성씨티하임 101호 (숭인동),이준규,02-2232-3535,2017.10.18,3,,,공인중개사,유,-
