,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2018-00113,,경성공인중개사사무소,서울특별시 종로구 진흥로 453 1층(구기동),현진민,02-394-8111,2018.12.03,3,,,공인중개사,유,-
1,11110-2015-00090,,구기공인중개사사무소,서울특별시 종로구 진흥로 443,고대림,02-395-4800,2015.12.22,3,,,공인중개사,유,-
2,92200000+2381,,명성공인중개사사무소,서울특별시 종로구 진흥로 439 (구기동),이종윤,396-4700,2010.08.12,3,,,공인중개사,유,-
3,11110-2019-00003,,명품공인중개사사무소,서울특별시 종로구 진흥로 460 (구기동),이지선,02-379-2055,2019.01.04,3,,,공인중개사,유,-
4,11110-2016-00117,,반도공인중개사사무소,서울특별시 종로구 진흥로 454 (구기동),최성대,02-391-4547,2016.12.19,3,,,공인중개사,유,-
5,92200000-1429,,산수공인중개사사무소,서울특별시 종로구 진흥로 458 (구기동),이동순,02-391-7187,2003.11.18,3,,,공인중개사,유,-
6,92200000-2161,,세종공인중개사사무소,서울특별시 종로구 진흥로 436 (구기동),권상희,-,2008.11.28,3,,,공인중개사,유,-
7,92200000-1523,,양지공인중개사사무소,서울특별시 종로구 진흥로 468-1 (구기동),이인애,02-391-7200,2004.09.16,3,,,공인중개사,유,-
8,11110-2018-00106,,청우공인중개사사무소,"서울특별시 종로구 진흥로 432 413호(구기동,요진쉐레이)",안재호,02-3417-0881,2018.10.31,3,,,공인중개사,유,-
9,11110-2018-00091,,현대공인중개사사무소,서울특별시 종로구 진흥로 439 101호(구기동),정운식,02-391-3700,2018.08.29,3,,,공인중개사,유,-
