,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2209,,광진불사공인중개사사무소,서울특별시 종로구 삼일대로30길 21 719호,김용각,723-4082,2009.04.01,3,,,공인중개사,유,-
1,가92200000-38,,국제부동산중개인사무소,서울특별시 종로구 수표로 118 3층 (낙원동),윤석만,02-730-2848,1987.05.13,3,,,중개인,유,-
2,11110-2019-00009,,낙원공인중개사사무소,서울특별시 종로구 수표로 118 306호 (낙원동),김진식,-,2019.01.23,3,,,공인중개사,유,-
3,92200000-1694,,대교FLC컨설팅공인중개사사무소,"서울특별시 종로구 수표로 118 401호(낙원동, 계성빌딩)",장애화,02-762-300002-515-004002-763-930002-766-470002-2233-348702-540-5430,2005.12.29,3,,,공인중개사,유,-
4,92200000-2627,,동산부동산공인중개사사무소,서울특별시 종로구 수표로 132 1층 (낙원동),정재훈,02-3673-1293,2012.11.09,3,,,공인중개사,유,-
5,11110-2018-00018,,삼우공인중개사사무소,서울특별시 종로구 삼일대로28길 9 (낙원동),진정우,-,2018.02.08,3,,,공인중개사,유,-
6,11110-2016-00093,,서현수공인중개사사무소,서울특별시 종로구 삼일대로28길 16 (낙원동),서현수,02-6325-5613,2016.10.05,3,,,공인중개사,유,-
7,11110-2018-00054,,알앤비공인중개사사무소,서울특별시 종로구 삼일대로30길 21 1012호 (낙원동),김형인,-,2018.05.25,3,,,공인중개사,유,-
8,가92200000-64,,인사부동산중개인사무소,서울특별시 종로구 삼일대로 437 (낙원동),최상열,734-2047,1989.10.07,3,,,중개인,유,-
9,92200000-2396,,종로공인중개사사무소,서울특별시 종로구 삼일대로30길 21 종로오피스텔 114호(낙원동),박혜숙,02-744-4955,2010.10.22,3,,,공인중개사,유,-
10,11110-2016-00118,,종로탑부동산공인중개사사무소,서울특별시 종로구 수표로 124 1층 (낙원동),이동영,02-745-0033,2016.12.19,3,,,공인중개사,유,-
11,92200000-2199,,포인트공인중개사사무소,서울특별시 종로구 수표로 118-1 3층 (낙원동),황대영,02-389-5858,2009.03.17,3,,,공인중개사,유,-
12,92200000-2297,,한라공인중개사사무소,서울특별시 종로구 수표로 117 604호 (낙원동),이상희,745-8831,2009.12.21,3,,,공인중개사,유,-
13,가92200000-74,,현대부동산중개인사무소,서울특별시 종로구 종로17길 52 낙원빌딩 103호 (낙원동),구본고,765-1956,1988.04.20,3,,,중개인,유,-
