,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-1834,,굿모닝공인중개사사무소,서울특별시 종로구 자하문로 63 (옥인동),신천호,720-0808,2006.05.01,3,,,공인중개사,유,-
1,11110-2018-00101,,서울부동산공인중개사사무소,서울특별시 종로구 필운대로 53,김혜신,02-725-4049,2018.10.11,3,,,공인중개사,유,-
2,92200000-2510,,소나무공인중개사사무소,서울특별시 종로구 자하문로17길 12 (옥인동),김미애,02-734-5711,2011.09.16,3,,,공인중개사,유,-
3,92200000-1151,,현대공인중개사사무소,서울특별시 종로구 자하문로 67-1 (옥인동),곽병운,732-6886,2001.02.20,3,,,공인중개사,유,-
