,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2016-00014,,(주)광화문포시즌컨설팅부동산중개,서울특별시 종로구 종로5길 13 2층,최인철,02-6262-1100,2016.01.27,3,,,법인,유,-
1,11110-2018-00077,,광화문탑공인중개사사무소,서울특별시 종로구 종로5길 13 2층 (청진동),강승호,-,2015.05.26,3,,,공인중개사,유,-
2,11110-2016-00090,,대한공인중개사사무소,"서울특별시 종로구 종로5길 13 2층 (청진동, 삼공빌딩)",윤은철,-,2016.10.04,3,,,공인중개사,유,-
3,11110-2016-00046,,문화부동산공인중개사사무소,서울특별시 종로구 삼봉로 74 (청진동),김명자,02-741-8000,2016.04.29,3,,,공인중개사,유,-
4,11680-2016-00217,,삼성중앙부동산중개법인주식회사,서울특별시 종로구 삼봉로 60 4층 (청진동),신정호,-,2016.05.13,3,,,법인,유,-
5,11110-2019-00026,,솔공인중개사사무소,서울특별시 종로구 종로5길 13 2층 (청진동),이인영,-,2019.03.25,3,,,공인중개사,무,-
6,11110-2019-00025,,종로공인중개사사무소,서울특별시 종로구 종로5길 38-1 3층 (청진동),김중석,-,2018.01.17,3,,,공인중개사,유,-
7,11110-2018-00080,,청진부동산공인중개사사무소,서울특별시 종로구 삼봉로 60 4층 (청진동),주성윤,-,2018.07.30,3,,,공인중개사,유,-
8,11110-2018-00111,,태평양공인중개사사무소,서울특별시 종로구 삼봉로 40 2층 (청진동),장인환,02-739-550302-739-5501,2018.11.21,3,,,공인중개사,유,-
9,11110-2019-00027,,포시즌부동산중개주식회사,서울특별시 종로구 종로5길 13 2층 (청진동),김재훈,02-6262-1100,2019.03.28,3,,,법인,유,-
10,11110-2018-00055,,프로퍼티래더공인중개사사무소,서울특별시 종로구 종로 33 7104호 (청진동),한영혜,-,2018.06.01,3,,,공인중개사,유,-
