,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2002,,I PARK 현대 공인중개사사무소,"서울특별시 종로구 통일로18길 9 102호 (무악동, I PARK 상가)",주한국,720-7272,2008.01.09,3,,,공인중개사,유,-
1,92200000-1103,,부동산114새천년공인중개사사무소,서울특별시 종로구 통일로 248 (무악동),김정식,02-736-360002-720-4800,2000.09.19,3,,,공인중개사,유,-
2,92200000-1785,,부동산뱅크공인중개사사무소,서울특별시 종로구 통일로 246-3 (무악동),서혜진,736-8945,2006.07.12,3,,,공인중개사,유,-
3,11110-2016-00051,,부동산뱅크현대공인중개사무소,서울특별시 종로구 통일로 246-3,박창웅,736-8945,2001.08.10,3,,,공인중개사,유,-
4,92200000-1232,,부동산천리안공인중개사사무소,서울특별시 종로구 통일로12길 16-1 (무악동),이강민,252-6969,2001.12.11,3,,,공인중개사,유,-
5,11110-2015-00020,,스마일부동산중개,서울특별시 종로구 통일로 230 지하1층114호 (무악동),배정현,02-723-7116,2015.03.13,3,,,공인중개사,유,-
6,11110-2018-00015,,스텔라공인중개사사무소,서울특별시 종로구 통일로 266 105호(무악동),김진호,02-6407-0002,2018.01.12,3,,,공인중개사,유,-
7,11110-2019-00011,,에이스부동산공인중개사사무소,서울특별시 종로구 통일로 230 지하1층106호(무악동),위현숙,-,2019.01.25,3,,,공인중개사,유,-
8,11110-2018-00036,,우리부동산공인중개사사무소,서울특별시 종로구 통일로 246-1 (무악동),김항근,02-723-0048,2018.03.22,3,,,공인중개사,유,-
9,92200000-2413,,유명공인중개사사무소,서울특별시 종로구 통일로 246-1 (무악동),정성애,720-8582,2010.12.02,3,,,공인중개사,유,-
10,92200000-2652,,인왕산IPARK공인중개사사무소,서울특별시 종로구 통일로18길 9 인왕산IPARK아파트단지내상가 103호,고광재,02-735-5949,2013.05.15,3,,,공인중개사,유,-
11,92200000-1038,,화신공인중개사사무소,서울특별시 종로구 통일로 266 (무악동),안순,02-722-4949,1999.12.30,3,,,공인중개사,유,-
