,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2323,,마이다스공인중개사사무소,서울특별시 종로구 종로 188 3층 304호 (종로4가),양기찬,02-3674-4545,2010.03.04,3,,,공인중개사,유,-
1,92200000-2600,,보령공인중개사사무소,서울특별시 종로구 종로 199-2 1층,빈광열,02-742-4100,2012.07.10,3,,,공인중개사,유,-
2,11110-2017-00100,,중앙빌딩거래소공인중개사사무소,서울특별시 종로구 종로 202 2층 (종로4가),김진호,-,2017.07.31,3,,,공인중개사,유,-
3,가92280000-공인3381,,한솔공인중개사사무소,서울특별시 종로구 종로 194-4 2층 (종로4가),윤석태,02-2277-6348,2013.01.24,3,,,공인중개사,유,-
