,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2017-00116,,광화문로얄부동산중개사무소,서울특별시 종로구 새문안로5길 19 제지하1층 50호 (당주동),이헌성,02-722-8945,2014.01.17,3,,,공인중개사,유,-
1,가92200000-0048,,광화문부동산중개인사무소,서울특별시 종로구 세종대로23길 54 (당주동),이정희,02-735-3376,1984.09.24,3,,,중개인,유,-
2,11110-2017-00022,,광화문세종부동산중개법인주식회사,"서울특별시 종로구 새문안로5가길 3-1 305호 (당주동, 영진빌딩)",호해성,02-720-9606,2017.02.20,3,,,법인,유,-
3,나92200000-27,,동아부동산중개인사무소,서울특별시 종로구 새문안로5길 5-27 (당주동),황순택,739-9466,1984.06.30,3,,,중개인,유,-
4,11110-2018-00092,,두산컨설팅공인중개사사무소,"서울특별시 종로구 새문안로5길 19 지하1층 3호(당주동,로얄빌딩)",이길한,02-3280-0025,2008.10.28,3,,,공인중개사,유,-
5,11110-2017-00072,,로얄부동산공인중개사사무소,서울특별시 종로구 새문안로5길 19 제지하1층5호,박경희,02-739-7888,2017.05.11,3,,,공인중개사,유,-
6,92200000-2578,,메리트공인중개사사무소,서울특별시 종로구 세종대로23길 47 미도파빌딩 101-9호(당주동),김경식,02-730-4757,2011.12.09,3,,,공인중개사,유,-
7,92200000-1704,,세종부동산중개사무소,서울특별시 종로구 세종대로23길 47 미도파빌딩 101호(당주동),조현옥,02-737-6880,2006.01.12,3,,,공인중개사,유,-
8,나92200000-31,,한일부동산중개인사무소,서울특별시 종로구 새문안로9길 19-1 (당주동),최정일,02-733-7165,1994.04.18,3,,,중개인,유,-
