,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2015-00090,,(주)미래명동부동산중개,서울특별시 중구 명동길 20 7층(명동2가),천재권,02-756-2299,2015.10.27,3,,,법인,유,-
1,92270000-4071,,거상부동산공인중개사사무소,서울특별시 중구 남대문로 52-13 308호(명동2가),함웅신,02-452-8585,2014.03.14,3,,,공인중개사,유,-
2,가92220000-325,,동우사부동산중개인사무소,서울특별시 중구 명동2가 3-1,김수왕,02-777-6004,1985.03.06,3,,,중개인,유,-
3,11140-2018-00046,,라온공인중개사사무소,서울특별시 중구 명동8가길 39-1 2층 일부(명동2가),이상원,02-755-8924,2018.05.15,3,,,공인중개사,유,-
4,공92220000-1542,,명동MK부동산공인중개사사무소,서울특별시 중구 명동길 52 6층,서나경,02-777-7727,2006.06.19,3,,,공인중개사,유,-
5,11215-2015-00067,,명동국제공인중개사사무소,서울특별시 중구 명동8길 8-11 4층,윤경원,02-774-8949,2015.06.02,3,,,공인중개사,유,-
6,가92220000-952,,삼원부동산중개인사무소,서울특별시 중구 명동8길 21-5,박용학,02-777-6160,1989.10.20,3,,,중개인,유,-
7,공92220000-2019,,양지부동산공인중개사사무소,서울특별시 중구 명동6길 29 2층,함홍남,02-756-8949,2011.01.18,3,,,공인중개사,유,-
8,가92220000-410,,우진부동산중개인사무소,서울특별시 중구 명동2가 2-2 지성빌딩 4층,박상호,02-777-5354,1985.05.29,3,,,중개인,유,-
9,공92220000-1259,,원명동부동산공인중개사사무소,서울특별시 중구 명동8길 8-13 5층,조옥자,-,2004.03.30,3,,,공인중개사,유,-
10,11140-2017-00029,,태솔공인중개사사무소,서울특별시 중구 남대문로 64 4층일부(명동2가),이호준,02-755-0000,2017.03.10,3,,,공인중개사,유,-
11,공92220000-2150,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=2255,한일관공인중개사사무소,서울특별시 중구 명동길 32 6층(명동2가),김영우,-,2012.04.17,3,,,공인중개사,유,-
12,11140-2016-00023,,현대공인중개사사무소,서울특별시 중구 명동길 36-1 5층일부(명동2가),엄해일,02-776-8006,2016.03.08,3,,,공인중개사,유,-
