,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-1881,,권용안공인중개사사무소,서울특별시 중구 서소문로 101 대건빌딩 402호,권용안,02-777-3737,2009.08.14,3,,,공인중개사,유,-
1,11140-2018-00062,,리브온공인중개사사무소,서울특별시 중구 서소문로 111 502호(서소문동),김재춘,02-771-8588,2018.07.12,3,,,공인중개사,유,-
2,11140-2018-00079,,스마트공인중개사사무소,"서울특별시 중구 서소문로 116 1402호(서소문동, 유원빌딩)",심일성,02-318-4983,2018.11.09,3,,,공인중개사,유,-
3,11140-2018-00044,,씨티공인중개사사무소,서울특별시 중구 서소문로 106 2층 일부(서소문동),최수열,-,2018.05.03,3,,,공인중개사,유,-
4,11560-2017-00199,,인사이트부동산중개법인 주식회사,"서울특별시 중구 세종대로9길 41 16층일부(퍼시픽타워, 서소문동)",서정윤,-,2017.10.13,3,,,법인,유,-
5,11140-2018-00019,,정원공인중개사사무소,서울특별시 중구 서소문로 101,양광석,02-3789-5155,2018.02.05,3,,,공인중개사,유,-
6,11140-2018-00059,,제이부동산공인중개사사무소,서울특별시 중구 서소문로 106 259호(서소문동),최종민,02-779-4195,2018.07.02,3,,,공인중개사,유,-
7,법92220000-56-001,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11680&photoNo=154218,주식회사제이원부동산중개법인,"서울특별시 중구 서소문로 103 723호(서소문동,배재빌딩)",서미라,-,2019.01.10,3,,,공인중개사,유,-
