,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2018-00058,,골드공인중개사사무소,서울특별시 중구 창경궁로 40-3 201호(을지로4가),최지혜,-,2018.06.28,3,,,공인중개사,유,-
1,공92220000-354,,복천공인중개사사무소,서울특별시 중구 을지로35길 3 2층,장랑환,02-2277-6336,1987.09.09,3,,,공인중개사,유,-
2,11140-2018-00055,,우리부동산중개사무소,서울특별시 중구 을지로33길 31 1층 일부(을지로4가),권기오,02-2261-0111,2018.06.11,3,,,공인중개사,유,-
3,9250-11347,,일왕공인중개사사무소,서울특별시 중구 창경궁로 52 2층 203호(을지로4가),우창희,02-2266-5390,2013.01.31,3,,,공인중개사,유,-
4,공92220000-1244,,정건공인중개사사무소,서울특별시 중구 을지로33길 19 1층104호(을지로4가),김장열,02-2274-5566,2004.02.03,3,,,공인중개사,유,-
5,11140-2018-00018,,프라임부동산공인중개사사무소,서울특별시 중구 을지로20길 10-4 4층(을지로4가) ,장영문,-,2018.01.31,1,2019.01.10,2019.07.10,,,
