,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2015-00051,,굿모닝공인중개사사무소,서울특별시 종로구 종로8길 21 (관철동),송학진,-,2015.08.03,3,,,공인중개사,유,-
1,92200000-2632,,대신공인중개사사무소,서울특별시 종로구 우정국로2길 35,이화현,720-0889 / 720-7386~7,2012.12.26,3,,,공인중개사,유,-
2,92200000-2597,,사직공인중개사사무소,서울특별시 종로구 우정국로2길 43 6층(옥탑) (관철동),정정희,-,2012.07.02,3,,,공인중개사,유,-
3,가92200000-71,,삼미부동산중개인사무소,서울특별시 종로구 삼일대로19길 20 (관철동),배창수,737-2848,1990.01.18,3,,,중개인,유,-
4,92200000-2727,,스타공인중개사사무소,"서울특별시 종로구 청계천로 67 106-2호 (관철동, 종로일번가빌딩)",임정미,02-725-4949,2014.03.17,3,,,공인중개사,유,-
5,가92200000-67,,은좌부동산중개인사무소,서울특별시 종로구 종로8길 13 (관철동),안익호,732-8988,1984.07.26,3,,,중개인,유,-
6,11110-2015-00046,,주식회사리치부동산중개법인,"서울특별시 종로구 청계천로 67 105호(관철동, 종로1번가)",김은주,02-736-5566,2015.07.15,3,,,법인,유,-
7,가92200000-69,,천일부동산중개인사무소,서울특별시 종로구 우정국로2길 35 (관철동),한동수,02-735-5450,1989.10.07,3,,,중개인,유,-
8,92200000-2419,,하나공인중개사사무소,서울특별시 종로구 삼일대로19길 18 (관철동),김영기,720-3335,2010.12.28,3,,,공인중개사,유,-
9,92200000-2663,,혜명공인중개사사무소,서울특별시 종로구 삼일대로 390-10 2층,조항규,720-8803 / 720-8814720-8813 / 2261-12032269-8998 / 2285-49792268-4922,2013.07.01,3,,,공인중개사,유,-
