,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-308,,공평공인중개사사무소,서울특별시 종로구 명륜길 6 (명륜1가),조병철,743-1760,1999.11.02,3,,,공인중개사,유,-
1,92200000-1697,,두산공인중개사사무소,서울특별시 종로구 혜화로 11 (명륜1가),이민수,765-8949,2005.12.29,3,,,공인중개사,유,-
2,11110-2019-00006,,베스트공인중개사사무소,서울특별시 종로구 혜화로 37,엄보영,02-766-1188,2019.01.09,3,,,공인중개사,유,-
3,11110-2017-00114,,삼성공인중개사사무소,서울특별시 종로구 혜화로 19,홍영해,02-744-5757,2017.09.14,3,,,공인중개사,유,-
4,11110-2017-00025,,새천년공인중개사사무소,서울특별시 종로구 혜화로 23,김남웅,02-766-6208,2017.02.23,3,,,공인중개사,유,-
5,92200000-2601,,선경공인중개사사무소,서울특별시 종로구 혜화로 31-1 (명륜1가),김동석,02-742-0081 / 02-763-4567,2012.07.12,3,,,공인중개사,유,-
6,11110-2017-00119,,오빠공인중개사사무소,서울특별시 종로구 혜화로3길 38 지하1층,배윤범,-,2017.09.20,3,,,공인중개사,유,-
7,11110-2017-00009,,크라운공인중개사사무소,서울특별시 종로구 명륜길 12 1층 (명륜1가),조명철,3676-8289,2017.01.10,3,,,공인중개사,유,-
8,92200000-2399,,탑공인중개사사무소,서울특별시 종로구 혜화로 19-1 (명륜1가),이영우,02-741-0388,2010.03.03,3,,,공인중개사,유,-
