,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-1085,,공인중개사사무소미래컨설팅,서울특별시 중구 동호로37길 20 방산상가A동 1028호,김문기,02-2263-9567,2002.12.04,3,,,공인중개사,유,-
1,11140-2018-00011,,모아공인중개사사무소,서울특별시 중구 창경궁로 67-5 (주교동),구병룡,-,2018.01.18,3,,,공인중개사,유,-
2,나92220000-316,,미우부동산중개인사무소,서울특별시 중구 동호로37길 20 방산시장 3층 154호,주재원,02-2267-0016,1984.05.25,3,,,중개인,유,-
3,공92220000-2368,,방산공인중개사사무소,서울특별시 중구 을지로33길 32 1층,김재홍,02-2265-0768,2014.12.03,3,,,공인중개사,유,-
4,나92220000-306,,방전사부동산중개인사무소,서울특별시 중구 동호로37길 20 1층1096호(주교동),정기태,02-2266-5524,1984.05.25,3,,,중개인,유,-
5,가92220000-859,,부성사부동산중개인사무소,서울특별시 중구 창경궁로8길 30,우제열,02-2263-9264,1988.10.19,3,,,중개인,유,-
6,나92220000-311,,수도사부동산중개인사무소,서울특별시 중구 동호로37길 20 A동 2층 158호,라길순,02-2275-4960,1984.05.25,3,,,중개인,유,-
7,92240000-1371,,온누리공인중개사사무소,서울특별시 중구 동호로37길 20 2층 2005호 (주교동 19-1),권영필,02-796-4955,2005.11.24,3,,,공인중개사,유,-
8,가92220000-645,,중앙부동산중개인사무소,서울특별시 중구 창경궁로 66,지종문,"2272-1357,2277-4488",1986.10.07,3,,,중개인,유,-
