,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,9250-8059,,(주)써브부동산중개법인,서울특별시 중구 수표로 7 인성빌딩 4층(충무로2가),김광성,02-6430-2111,2007.01.24,3,,,법인,유,-
1,공92220000-1874,,명동SUN공인중개사사무소,서울특별시 중구 명동8가길 27 선샤인빌딩 1002호,서정석,-,2009.07.22,3,,,공인중개사,유,-
2,공92220000-1786,,명동골드공인중개사사무소,서울특별시 중구 퇴계로 127 5층(충무로2가),박종면,02-777-6977,2008.10.02,3,,,공인중개사,유,-
3,11215-2015-00072,,명동세원공인중개사사무소,"서울특별시 중구 명동8가길 42-1 3층일부(303호)(충무로2가, 국도빌딩)",이원거,02-752-8080,2015.06.09,3,,,공인중개사,유,-
4,공92220000-2120,,삼성맨파워부동산공인중개사사무소,서울특별시 중구 삼일대로 299 304호,조원길,02-775-5088,2011.12.29,3,,,공인중개사,유,-
5,법92220000-42,,성모부동산중개(주),서울특별시 중구 명동8가길 7 프리엠상가 301호,노상우,02-777-124302-777-1434,2007.02.28,3,,,법인,유,-
6,11680-2017-00314,,세종공인중개사사무소,서울특별시 중구 명동8가길 37 3층(충무로2가),박범수,02-776-7871,2017.06.30,3,,,공인중개사,유,-
7,공92220000-844,,신한공인중개사사무소,서울특별시 중구 명동8가길 6 3층 일부(충무로2가),김인식,02-774-5000,2000.11.15,3,,,공인중개사,유,-
