,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2015-00077,,광희부동산공인중개사사무소,서울특별시 중구 마른내로 155-1 1층,김종수,-,2015.10.02,3,,,공인중개사,유,-
1,92380000-4168,,금호트윈공인중개사사무소,서울특별시 중구 마른내로 155 금호트윈오피스텔 제1동 1층 104호,이관준,-,2010.05.26,3,,,공인중개사,유,-
2,11400-2015-00005,,뉴중구부동산공인중개사사무소,서울특별시 중구 동호로34길 18 1층(광희동1가 294-1),윤진희,-,2015.01.19,3,,,공인중개사,유,-
3,11140-2017-00017,,태양공인중개사사무소,서울특별시 중구 마른내로 163 1층(광희동1가),김주환,-,2017.02.14,3,,,공인중개사,유,-
4,공92220000-1370,,학사공인중개사사무소,서울특별시 중구 을지로44길 13 신생빌딩 301호,오수석,02-2273-7061,2005.04.12,3,,,공인중개사,유,-
5,11140-2015-00091,,행운공인중개사사무소,서울특별시 중구 마른내로 159 지층(광희동1가),이능규,02-2272-9696,2015.10.30,3,,,공인중개사,유,-
