,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2311,,KSK공인중개사사무소,서울특별시 종로구 자하문로 42 (창성동),김진규,723-9222,2010.01.26,3,,,공인중개사,유,-
1,92200000-1712,,종로공인중개사사무소,서울특별시 종로구 자하문로10길 3 (창성동),서진하,722-0506,2006.02.13,3,,,공인중개사,유,-
2,11110-2015-00033,,청운공인중개사사무소,서울특별시 종로구 자하문로 40-1 1층,홍성민,02-732-9777,2015.05.06,3,,,공인중개사,유,-
3,92200000-2645,,효자공인중개사사무소,서울특별시 종로구 자하문로 40 (창성동),이종수,02-734-3338,2013.03.25,3,,,공인중개사,유,-
