,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-1129,,계동공인중개사사무소,서울특별시 종로구 계동길 54 (계동),김재창,763-3940,2000.12.29,3,,,공인중개사,유,-
1,92200000-2653,,부동산카페공인중개사사무소,서울특별시 종로구 계동길 5 (계동),채현숙,02-742-4500,2013.05.27,3,,,공인중개사,유,-
2,92300000-2332,,안국공인중개사사무소,서울특별시 종로구 계동길 60,김용조,02-742-4600,2005.12.19,3,,,공인중개사,유,-
3,가92200000-49,,종로부동산중개인사무소,서울특별시 종로구 창덕궁1가길 8 비 03호 (계동),김경종,763-5302,1986.09.10,3,,,중개인,유,-
4,92200000-1431,,중앙사공인중개사사무소,서울특별시 종로구 계동길 82 (계동),윤봉기,02)763-1587,2003.11.28,3,,,공인중개사,유,-
5,92200000-1643,,한성부동산공인중개사사무소,서울특별시 종로구 창덕궁1길 29 지층(계동),정일성,745-4006,2005.09.06,3,,,공인중개사,유,-
6,92200000-2564,,한옥마을공인중개사사무소,서울특별시 종로구 창덕궁1길 39 (계동),서승옥,02-765-2259,2012.03.02,3,,,공인중개사,유,-
7,11110-2016-00024,,행복공인중개사사무소,서울특별시 종로구 창덕궁1길 34 (계동),남미숙,02-747-2600,2016.03.10,3,,,공인중개사,유,-
