,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,공92220000-17,,대림공인중개사사무소,서울특별시 중구 퇴계로6길 14 1층,이선유,02-757-4511,1985.12.02,3,,,공인중개사,유,-
1,11140-2018-00091,,명문공인중개사사무소,"서울특별시 중구 퇴계로 39-2 ,301호(남창동)",박민정,02-318-616102-2292-2999,2018.12.14,3,,,공인중개사,유,-
2,공92220000-1998,,한국명동공인중개사사무소,서울특별시 중구 퇴계로 53 401호,장각준,02-776-7001,2010.11.12,3,,,공인중개사,유,-
3,가92220000-916,,한국부동산중개인사무소,서울특별시 중구 남대문시장4길 41-13 3층(남창동),유욱열,02-773-1751,1989.04.19,3,,,중개인,유,-
