,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2016-00059,,광화문공인중개사사무소,서울특별시 종로구 종로 19 제116-1호(종로1가. 르메이에르종로타운),김광복,02-737-1124,2015.12.17,3,,,공인중개사,유,-
1,92200000-2126,,드림공인중개사사무소,"서울특별시 종로구 종로 19 르메이에르종로타운1, 104-3호(종로1가)",한성용,02-2075-6222,2008.09.05,3,,,공인중개사,유,-
2,92200000-1953,,르메이에르공인중개사사무소,서울특별시 종로구 종로 19 129호 (종로1가),김혁성,02-3210-3215,1986.02.10,3,,,공인중개사,유,-
3,11110-2017-00137,,미래공인중개사사무소,서울특별시 종로구 종로 19 르메이에르 128호 (종로1가),송현숙,02-725-8544,2017.12.11,3,,,공인중개사,유,-
4,92200000-2200,,신화공인중개사사무소,서울특별시 종로구 종로 19 (종로1가),이수연,02-2075-7400,2009.03.17,3,,,공인중개사,유,-
5,11110-2018-00064,,에이트리공인중개사사무소,서울특별시 종로구 종로 19 1520호 (종로1가),김희정,-,2018.06.18,3,,,공인중개사,유,-
6,92200000-1955,,종로타운공인중개사사무소,"서울특별시 종로구 종로 19 르메이르종로타운1, 125호(종로1가)",김지윤,02-720-5599,2007.10.04,3,,,공인중개사,유,-
7,92200000-1969,,포춘공인중개사사무소,서울특별시 종로구 종로 19 (종로1가) 르메이에르 종로타운1 제1527호,서옥경,02-790-6977,2001.10.05,3,,,공인중개사,유,-
