,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2539,,e편한공인중개사사무소,서울특별시 종로구 창경궁로34길 5 (혜화동),임지은,02-764-8999 765-8999,2011.12.19,3,,,공인중개사,유,-
1,11110-2018-00119,,까치부동산공인중개사사무소,서울특별시 종로구 혜화로 16 1층(혜화동),김현수,02-766-3578,2018.12.24,3,,,공인중개사,유,-
2,11110-2018-00060,,닥터부동산중개법인,"서울특별시 종로구 대학로 144 217호 (혜화동, 중원빌딩)",이석우,02-3674-4989,2018.06.07,3,,,법인,유,-
3,11110-2018-00118,,마로니에공인중개사사무소,서울특별시 종로구 창경궁로 266 1층(혜화동),지정미,02-742-5353,2018.12.20,3,,,공인중개사,유,-
4,11110-2015-00005,,신화공인중개사사무소,서울특별시 종로구 대학로 141 지하1층,임희성,02-762-9056,2015.01.22,3,,,공인중개사,유,-
5,92200000-1608,,씽크탱크공인중개사사무소,서울특별시 종로구 대학로 136 5층,박덕규,742-9622,2005.07.08,3,,,공인중개사,유,-
6,92360000-01312,,아남공인중개사사무소,서울특별시 종로구 창경궁로 267 (혜화동),김지현,742-2727,2003.12.06,3,,,공인중개사,유,-
7,92200000-1726,,제일공인중개사사무소,서울특별시 종로구 혜화로 5 (혜화동),전찬우,02-763-0303,2006.03.15,3,,,공인중개사,유,-
8,11110-2019-00008,,참조은부동산공인중개사사무소,서울특별시 종로구 혜화로 2,이한용,-,2019.01.11,3,,,공인중개사,유,-
9,11110-2016-00084,,평화공인중개사사무소,서울특별시 종로구 대학로 145,김희식,-,2016.09.12,3,,,공인중개사,유,-
10,92200000-2689,,하늘부동산공인중개사사무소,서울특별시 종로구 혜화로 14 1층(혜화동),박희연,02-745-6205010-4788-6205,2013.12.11,3,,,공인중개사,유,-
11,11110-2018-00002,,행운부동산공인중개사사무소,서울특별시 종로구 혜화로 24 (혜화동),길호근,02-741-3795,2018.01.03,3,,,공인중개사,유,-
