,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2017-00068,,단지내서울역자이경제공인중개사사무소,"서울특별시 중구 만리재로 175 401동107호(만리동2가,서울역센트럴자이)",강기령,02-363-4100,2017.08.17,3,,,공인중개사,유,-
1,11140-2017-00058,,서울로자이공인중개사사무소,"서울특별시 중구 만리재로 175 401동112호(만리동2가,서울역센트럴자이)",이미혜,02-313-0527,2017.07.05,3,,,공인중개사,유,-
2,11140-2015-00062,,서울역공인중개사사무소,"서울특별시 중구 만리재로 185 101동비03호(만리동2가,KCC파크타운)",이제영,02-393-7999,2015.07.27,3,,,공인중개사,유,-
3,11140-2018-00061,,유니티공인중개사사무소,서울특별시 중구 만리재로 185 101동 비03호(만리동2가),박기재,-,2018.07.05,3,,,공인중개사,유,-
4,11140-2019-00015,,자이경제(단지내)공인중개사사무소,서울특별시 중구 만리재로 175 401동 107호(만리동2가),박보련,02-363-4100,2019.02.27,3,,,공인중개사,유,-
5,11170-2017-00071,,자이사랑공인중개사사무소,"서울특별시 중구 만리재로 175 ,401동 106호(만리동2가, 서울역센트럴자이)",유진아,02-711-2777,2016.02.25,3,,,공인중개사,유,-
6,11170-2018-00131,,자이스타킴공인중개사사무소,서울특별시 중구 만리재로 183 1층 일부(만리동2가),김기성,02-365-0800,2017.01.17,3,,,공인중개사,유,-
7,11140-2017-00070,,자이최고공인중개사사무소,"서울특별시 중구 만리재로 175 401동106호(만리동2가,서울역센트럴자이)",문복순,02-313-4001,2017.08.22,3,,,공인중개사,유,-
8,92380000-4656,,천지공인중개사사무소,"서울특별시 중구 만리재로 175 , 402동 101호(만리동2가, 서울역센트럴자이)",박정임,02-702-0977,2012.06.27,3,,,공인중개사,유,-
9,11410-2017-00096,,천지자이공인중개사사무소,"서울특별시 중구 만리재로 175 402동 101호(만리동2가, 서울역센트럴자이)",안승혜,"02-363-1544, 02-365-1544",2017.07.17,3,,,공인중개사,유,-
