,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2359,,SK공인중개사사무소,서울특별시 종로구 삼일대로 461 운현궁SK허브 101-106(삼일로12)(경운동),최정,737-7500,2010.05.19,3,,,공인중개사,유,-
1,11110-2015-00040,,SK허브공인중개사사무소,서울특별시 종로구 삼일대로 461 101동106호 (경운동),조미경,02-737-7500,2012.03.06,3,,,공인중개사,유,-
2,92200000-2007,,메트로공인중개사사무소,서울특별시 종로구 삼일대로 461 101동109호(경운동),황석임,720-6025,2008.01.11,3,,,공인중개사,유,-
3,92200000-2684,,운현궁sk공인중개사사무소,서울특별시 종로구 삼일대로 461 운현궁sk허브오피스텔 101동 101호 (경운동),최용재,02-722-2030,2013.12.03,3,,,공인중개사,유,-
4,92200000-2298,,코리아랜드공인중개사사무소,서울특별시 종로구 삼일대로 461 운현궁SK허브 101-B114(경운동),서명연,737-4774,2009.12.24,3,,,공인중개사,유,-
