,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2016-00037,,K2부동산공인중개사사무소,서울특별시 중구 을지로 142 2층,한호종,02-2268-8988,2016.04.11,3,,,공인중개사,유,-
1,가92220000-640,,대길부동산중개인사무소,서울특별시 중구 을지로18길 10 (을지로3가),오국열,02-2277-1957,1986.09.16,3,,,중개인,유,-
2,11140-2017-00086,,대성공인중개사사무소,서울특별시 중구 을지로 132 2층일부(을지로3가),최만호,02-2278-8500,2017.10.20,3,,,공인중개사,유,-
3,가92220000-844,,대일부동산중개인사무소,서울특별시 중구 을지로14길 7 성진빌딩 501호,방상열,"2279-3623,2279-9377",1999.10.25,3,,,중개인,유,-
4,나92220000-516,,도우부동산중개인사무소,서울특별시 중구 을지로 123-1 3층 302호,이판도,02-777-6440,2011.01.06,3,,,중개인,유,-
5,11140-2017-00036,,삼성공인중개사사무소,서울특별시 중구 수표로 50 202호(을지로3가),정현수,-,2017.04.14,3,,,공인중개사,유,-
6,공92220000-2142,,세운공인중개사사무소,서울특별시 중구 수표로 58 2층(을지로3가),조명일,02-467-8949,2012.03.05,3,,,공인중개사,유,-
7,공92220000-1980,,소망공인중개사사무소,서울특별시 중구 을지로 118-1 2층202호(을지로3가),이순향,-,2010.07.12,3,,,공인중개사,유,-
8,공92220000-1416,,우리공인중개사사무소,서울특별시 중구 충무로 54 1층일부(을지로3가),박상주,02-2266-0460,2005.07.27,3,,,공인중개사,유,-
9,11140-2016-00066,,을지부동산중개,서울특별시 중구 을지로 113 202호(을지로3가),김정수,02-2263-4985,2016.07.27,3,,,공인중개사,유,-
10,가92220000-896,,태평양부동산중개인사무소,서울특별시 중구 을지로 126-1 1층 101호(을지로3가),지남식,02-2275-0896,1989.04.19,3,,,중개인,유,-
11,공92220000-2317,,하나공인중개사사무소,서울특별시 중구 을지로 125-1 2층,박찬형,02-2266-1855,2014.05.12,3,,,공인중개사,유,-
12,공92220000-314,,한보공인중개사사무소,서울특별시 중구 을지로 113-3 (을지로3가),최명래,02-2266-1002,1990.04.20,3,,,공인중개사,유,-
13,가92220000-689,,현대개발부동산컨설팅중개인사무소,서울특별시 중구 을지로 140-1 2층,김인기,02-2273-0147,1987.02.19,3,,,중개인,유,-
14,11140-2019-00012,,현대공인중개사사무소,서울특별시 중구 을지로 108 201호(을지로3가),김항년,-,2019.02.19,3,,,공인중개사,유,-
15,가92220000-625,,현대부동산중개인사무소,서울특별시 중구 을지로3가 295-12 (2층),이윤기,02-2278-5050,1986.08.25,3,,,중개인,유,-
16,9251-8679,,호방법무사공인중개사사무소,서울특별시 중구 을지로 123 2층(을지로3가),권형운,-,2014.01.03,3,,,공인중개사,유,-
